epoch,person,bicycle,car
0,0.00429,0.00653,0.05689
1,0.01240,0.00000,0.10584
2,0.01975,0.00984,0.23391
3,0.03641,0.00589,0.25452
4,0.05839,0.01611,0.32105
5,0.08129,0.02186,0.36102
6,0.08477,0.02281,0.39511
7,0.10942,0.02261,0.41594
8,0.10990,0.02815,0.43763
9,0.11955,0.04442,0.44996
10,0.12700,0.01187,0.42891
11,0.12372,0.01355,0.41610
12,0.04696,0.00296,0.08793
13,0.00449,0.00000,0.01183
14,0.00000,0.00000,0.00947
15,0.00000,0.00000,0.00823
16,0.00000,0.00000,0.00795
17,0.00000,0.00000,0.00794
18,0.00000,0.00000,0.00761
19,0.00000,0.00000,0.00804
20,0.00000,0.00000,0.00828
