epoch,P,R,mAP@0.5,mAP@0.5:0.95,val_loss
0,0.14043,0.17388,0.10576,0.04003,1.62033
1,0.25800,0.24142,0.20052,0.08855,1.38585
2,0.34115,0.25722,0.24462,0.10984,1.33085
3,0.31660,0.28845,0.25661,0.11997,1.39237
4,0.38069,0.30512,0.29803,0.14292,1.05160
5,0.41069,0.31114,0.32341,0.15985,1.04622
6,0.43306,0.33690,0.34784,0.17095,1.00783
7,0.47399,0.36387,0.37822,0.18769,0.98324
8,0.48703,0.35707,0.38613,0.19587,0.96816
9,0.50839,0.38655,0.42092,0.21016,0.97225
10,0.52076,0.39183,0.42636,0.21623,0.93833
